1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) INCUMBENT INDICATOR,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (GA),GE RUNOFF ELECTION % (GA),COMBINED GE PARTY TOTALS (when applicable),COMBINED GE PARTY % (when applicable),PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES,1ST ROUND RCV VOTES,1ST ROUND RCV %,2ND ROUND RCV VOTES,2ND ROUND RCV %,3RD ROUND RCV VOTES,3RD ROUND RCV %,,,,,,
606,VT,Vermont,S,S2VT00383,,Natasha,Diamondstone-Kohout,"Diamondstone-Kohout, Natasha",,GRM,,,,,"1,574",0.55%,,,,,,,,,,,,,,,,,,,
607,VT,Vermont,S,S2VT00243,,Kerry Patrick,Raheb,"Raheb, Kerry Patrick",,IND,,,,,"1,532",0.53%,,,,,,,,,,,,,,,,,,,
608,VT,Vermont,S,S2VT00185,,Mark ,Coester,"Coester, Mark ",,IND,,,,,"1,273",0.44%,,,,,,,,,,,,,,,,,,,
609,VT,Vermont,S,S2VT00391,,Stephen,Duke,"Duke, Stephen",,IND,,,,,"1,209",0.42%,,,,,,,,,,,,,,,,,,,
610,VT,Vermont,S,S2VT00326,,Ms. Cris,Ericson,"Ericson, Ms. Cris",,IND,,,,,"1,105",0.38%,,,,,,,,,,,,,,,,,,,
611,VT,Vermont,S,n/a,,,Scattered,Scattered,,W,,,,,612,0.21%,,,,,,,,,,,,,,,,,,,
612,VT,Vermont,S,S2VT00359,,Martha,Abbott,"Abbott, Martha",,PRO,473,86.63%,,,,,,,,,W,,,,,,,,,,,,,,
613,VT,Vermont,S,n/a,,,,Scattered,,W(PRO),73,13.37%,,,,,,,,,,,,,,,,,,,,,,,
614,VT,Vermont,S,n/a,,,,,Party Votes:,PRO,546,,,,,,,,,,,,,,,,,,,,,,,,
615,VT,Vermont,S,n/a,,,,,Total State Votes:,,"128,792",,,,"287,100",,,,,,,,,,,,,,,,,,,,
616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,WA,Washington,S,S2WA00189,(I),Patty,Murray,"Murray, Patty",,D,"1,002,811",52.22%,,,"1,741,827",57.15%,,,,,W,W,"*  Washington utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, ""Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associates with that candidate.""",,,,,,,,,,,,
618,WA,Washington,S,S2WA00387,,Tiffany,Smiley,"Smiley, Tiffany",,R,"646,917",33.69%,,,"1,299,322",42.63%,,,,,W,,"*  Washington utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, ""Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associates with that candidate.""",,,,,,,,,,,,
619,WA,Washington,S,S2WA00486,,Leon ,Lawson,"Lawson, Leon ",,TRR,"59,134",3.08%,,,,,,,,,,,"*  Washington utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, ""Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associates with that candidate.""",,,,,,,,,,,,
620,WA,Washington,S,S2WA00510,,John ,Guenther,"Guenther, John ",,R,"55,426",2.89%,,,,,,,,,,,"*  Washington utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, ""Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associates with that candidate.""",,,,,,,,,,,,
621,WA,Washington,S,S2WA00395,,Ravin,Pierre,"Pierre, Ravin",,D,"22,172",1.15%,,,,,,,,,,,"*  Washington utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, ""Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associates with that candidate.""",,,,,,,,,,,,
622,WA,Washington,S,S2WA00536,,Dave ,Saulibio,"Saulibio, Dave ",,JRP,"19,341",1.01%,,,,,,,,,,,"*  Washington utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, ""Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associates with that candidate.""",,,,,,,,,,,,
623,WA,Washington,S,S2WA00437,,Naz ,Paul,"Paul, Naz ",,IND,"18,858",0.98%,,,,,,,,,,,"*  Washington utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, ""Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associates with that candidate.""",,,,,,,,,,,,
624,WA,Washington,S,S2WA00528,,Bill,Hirt,"Hirt, Bill",,R,"15,276",0.80%,,,,,,,,,,,"*  Washington utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, ""Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associates with that candidate.""",,,,,,,,,,,,
625,WA,Washington,S,S4WA00474,,Mohammad Hassan,Said,"Said, Mohammad Hassan",,D,"13,995",0.73%,,,,,,,,,,,"*  Washington utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, ""Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associates with that candidate.""",,,,,,,,,,,,
626,WA,Washington,S,S2WA00569,,Henry Clay,Dennison,"Dennison, Henry Clay",,SWP,"13,901",0.72%,,,,,,,,,,,"*  Washington utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, ""Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associates with that candidate.""",,,,,,,,,,,,
627,WA,Washington,S,S6WA00438,,Dr. Pano,Churchill,"Churchill, Dr. Pano",,D,"11,859",0.62%,,,,,,,,,,,"*  Washington utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, ""Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associates with that candidate.""",,,,,,,,,,,,
628,WA,Washington,S,S2WA00445,,Bryan ,Solstin,"Solstin, Bryan ",,D,"9,627",0.50%,,,,,,,,,,,"*  Washington utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, ""Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associates with that candidate.""",,,,,,,,,,,,
629,WA,Washington,S,S8WA00129,,Charlie (Chuck),Jackson,"Jackson, Charlie (Chuck)",,IND,"8,604",0.45%,,,,,,,,,,,"*  Washington utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, ""Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associates with that candidate.""",,,,,,,,,,,,
630,WA,Washington,S,S8WA00376,,Jon,Butler,"Butler, Jon",,IND,"5,413",0.28%,,,,,,,,,,,"*  Washington utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, ""Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associates with that candidate.""",,,,,,,,,,,,
631,WA,Washington,S,S8WA00137,,Thor,Amundson,"Amundson, Thor",,IND,"5,133",0.27%,,,,,,,,,,,"*  Washington utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, ""Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associates with that candidate.""",,,,,,,,,,,,
632,WA,Washington,S,S2WA00551,,Martin D.,Hash,"Hash, Martin D.",,NOP,"4,725",0.25%,,,,,,,,,,,"*  Washington utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, ""Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associates with that candidate.""",,,,,,,,,,,,
633,WA,Washington,S,S2WA00544,,Dan Phan,Doan,"Doan, Dan Phan",,NOP,"3,049",0.16%,,,,,,,,,,,"*  Washington utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, ""Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associates with that candidate.""",,,,,,,,,,,,
634,WA,Washington,S,S2WA00502,,Sam,Cusmir,"Cusmir, Sam",,D,"2,688",0.14%,,,,,,,,,,,"*  Washington utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, ""Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associates with that candidate.""",,,,,,,,,,,,
635,WA,Washington,S,n/a,,,Scattered,Scattered,,W,"1,511",0.08%,,,"6,751",0.22%,,,,,,,"*  Washington utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, ""Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associates with that candidate.""",,,,,,,,,,,,
636,WA,Washington,S,n/a,,,,,Total State Votes:,,"1,920,440",,,,"3,047,900",,,,,,,,"*  Washington utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, ""Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associates with that candidate.""",,,,,,,,,,,,
637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,WI,Wisconsin,S,S0WI00197,(I),Ron,Johnson,"Johnson, Ron",,R,"563,871",83.60%,,,"1,337,185",50.41%,,,,,W,W,,,,,,,,,,,,,
639,WI,Wisconsin,S,S2WI00524,,David,Schroeder,"Schroeder, David",,R,"109,917",16.30%,,,,,,,,,,,,,,,,,,,,,,,
640,WI,Wisconsin,S,n/a,,,Scattered,Scattered,,W(R),693,0.10%,,,,,,,,,,,,,,,,,,,,,,,
641,WI,Wisconsin,S,n/a,,,,,Party Votes:,R,"674,481",,,,,,,,,,,,,,,,,,,,,,,,
642,WI,Wisconsin,S,S2WI00441,,Mandela,Barnes,"Barnes, Mandela",,D,"390,279",77.78%,,,"1,310,467",49.41%,,,,,W,,,,,,,,,,,,,,
643,WI,Wisconsin,S,S2WI00342,,Alex,Lasry,"Lasry, Alex",,D,"44,609",8.89%,,,,,,,,,,,,,,,,,,,,,,,
644,WI,Wisconsin,S,S2WI00359,,Sarah ,Godlewski,"Godlewski, Sarah ",,D,"40,555",8.08%,,,,,,,,,,,,,,,,,,,,,,,
645,WI,Wisconsin,S,S0WI00247,,Tom,Nelson,"Nelson, Tom",,D,"10,995",2.19%,,,,,,,,,,,,,,,,,,,,,,,
646,WI,Wisconsin,S,S2WI00383,,Steven ,Olikara,"Olikara, Steven ",,D,"5,619",1.12%,,,,,,,,,,,,,,,,,,,,,,,
647,WI,Wisconsin,S,S2WI00466,,Darrell,Williams,"Williams, Darrell",,D,"3,646",0.73%,,,,,,,,,,,,,,,,,,,,,,,
648,WI,Wisconsin,S,S2WI00433,,Kou C.,Lee,"Lee, Kou C.",,D,"3,434",0.68%,,,,,,,,,,,,,,,,,,,,,,,
649,WI,Wisconsin,S,S2WI00417,,Peter ,Peckarsky,"Peckarsky, Peter ",,D,"2,446",0.49%,,,,,,,,,,,,,,,,,,,,,,,
650,WI,Wisconsin,S,n/a,,,Scattered,Scattered,,W(D),177,0.04%,,,,,,,,,,,,,,,,,,,,,,,
651,WI,Wisconsin,S,n/a,,,,,Party Votes:,D,"501,760",,,,,,,,,,,,,,,,,,,,,,,,
652,WI,Wisconsin,S,n/a,,,Scattered,Scattered,,W,,,,,"4,758",0.18%,,,,,,,,,,,,,,,,,,,
653,WI,Wisconsin,S,S2WI00532,,Adam,Paul,"Paul, Adam",,W,,,,,67,0.00%,,,,,,,,,,,,,,,,,,,
654,WI,Wisconsin,S,n/a,,,Scattered,Scattered,,W(LIB),151,100.00%,,,,,,,,,,,,,,,,,,,,,,,
655,WI,Wisconsin,S,n/a,,,,,Party Votes:,LIB,151,,,,,,,,,,,,,,,,,,,,,,,,
656,WI,Wisconsin,S,n/a,,,Scattered,Scattered,,W(CON),50,100.00%,,,,,,,,,,,,,,,,,,,,,,,
657,WI,Wisconsin,S,n/a,,,,,Party Votes:,CON,50,,,,,,,,,,,,,,,,,,,,,,,,
658,WI,Wisconsin,S,n/a,,,,,Total State Votes:,,"1,176,442",,,,"2,652,477",,,,,,,,,,,,,,,,,,,,
